id,sku,name,description,price,stock,category,badge,weight,size,img1,img2,img3
p1780859837233,XBD003,East Tennessee Corvette Club Crossbody,"Rev up your style with this one-of-a-kind handcrafted purse, made exclusively for East Tennessee Corvette Club fans. Lovingly stitched by hand right here in Tennessee, this statement bag proudly celebrates your passion for America's sports car and the club that shares it. Roomy enough for all your everyday essentials, it's the perfect companion for car shows, club meets, or any day you want to turn heads. A true conversation starter — and a piece no one else in the room will have. Upcycled jeans, 1 zipper compartment, 1 exterior and 1 interior pocket, fully lined with adjustable shoulder strap.",1,1,Crossbody,,1,7 x 5 1/2,https://handmadedesignsbysuzi.com/product_images/prod_p1780859837233_img1.jpg,https://handmadedesignsbysuzi.com/product_images/prod_p1780859837233_img2.jpg,
p1780859798406,XBD002,Jean Crossbody,"Classic never goes out of style. This handcrafted denim purse has that perfectly worn-in, effortlessly cool look that pairs with absolutely everything in your closet. Made stitch by stitch with care and attention to detail, it's the kind of bag that gets better with every wear. Spacious, sturdy, and undeniably charming — toss it over your shoulder and let the compliments roll in. Upcycled jeans, 3 zipper compartments, separate phone pocket, exterior pocket, built in wallet, fully lined with adjustable shoulder strap.",1,1,Crossbody,,1,7 x 6 1/2,https://handmadedesignsbysuzi.com/product_images/prod_p1780859798406_img1.jpg,https://handmadedesignsbysuzi.com/product_images/prod_p1780859798406_img2.jpg,
p1780859218523,XBD004,Red Corvette PurseCrossbody,"For the woman who loves fast cars and fierce style. This bold, handcrafted purse puts the legendary Corvette front and center in vivid red — the color of speed, passion, and turning heads at 60 mph. Each one is made by hand, so no two are exactly alike. Whether you're headed to a car show or just running errands in style, this bag makes a statement before you even say a word. Upcycled jeans, Embroidered Corvette logo, 4 zipper compartments, fully lined, adjustable shoulder strap",1,1,Crossbody,,1,8 1/2 x 8,https://handmadedesignsbysuzi.com/product_images/prod_p1780859218523_img1.jpg,https://handmadedesignsbysuzi.com/product_images/prod_p1780859218523_img2.jpg,https://handmadedesignsbysuzi.com/product_images/prod_p1780859218523_img3.jpg
p1780859702439,XBD001,Small Corvette Cross Body,"Big personality, compact size. This cute handcrafted Corvette purse is the perfect go-anywhere bag for the Corvette lover who likes to travel light without sacrificing style. Small enough to keep close, roomy enough for your must-haves — phone, keys, cards, and a little lipstick for good measure. Handmade with love and built to be admired. Upcycled jeans, embroidered Corvette logo,4 zipper compartments, fully lined with adjustable shoulder strap.",1,1,Crossbody,,1,7 x 8,https://handmadedesignsbysuzi.com/product_images/prod_p1780859702439_img1.jpg,https://handmadedesignsbysuzi.com/product_images/prod_p1780859702439_img2.jpg,https://handmadedesignsbysuzi.com/product_images/prod_p1780859702439_img3.jpg
p1780859747874,TOT001,Beige Corvette Show Tote Bag,"Carry the car show spirit everywhere you go. This handcrafted beige tote is a nod to the Corvette shows that bring enthusiasts together — warm, classic, and always in good taste. The neutral tone goes with everything, making it just as at home on a Saturday morning farmers market run as it is at the show field. Roomy, sturdy, and made by hand with the kind of care that only a fellow Corvette lover would understand. Upcycled TShirt, 2 large interior zipper pockets, 2 exterior pockets large enough to hold water bottles, fully lined.",1,1,Tote Bags,,1,16 x 17,https://handmadedesignsbysuzi.com/product_images/prod_p1780859747874_img1.jpg,https://handmadedesignsbysuzi.com/product_images/prod_p1780859747874_img2.jpg,https://handmadedesignsbysuzi.com/product_images/prod_p1780859747874_img3.jpg
p1780859300281,TOT002,Black Corvette Tote Bag,"Sleek, bold, and built for the Corvette faithful. This striking black handcrafted tote lets your love of America's sports car do the talking — no subtlety required. The deep black background makes every detail pop, and the spacious interior means you never have to choose between style and practicality. Handmade one at a time, because great things never come off an assembly line. Upcycled TShirt, 2 large interior zipper pockets, 2 exterior pockets large enough to hold water bottles, fully lined. ",1,1,Tote Bags,,0,16 1/2 x 14 1/2,https://handmadedesignsbysuzi.com/product_images/prod_p1780859300281_img1.jpg,https://handmadedesignsbysuzi.com/product_images/prod_p1780859300281_img2.jpg,https://handmadedesignsbysuzi.com/product_images/prod_p1780859300281_img3.jpg
p1780859505389,TOT003,Corvette General Motors Division Tote Bag,"Upcycled jeans, 1 zipper compartment, 1 exterior and 1 interior pocket, fully lined with adjustable shoulder strap. A salute to automotive legend. This handcrafted tote celebrates the iconic Corvette — General Motors Division — in all its heritage glory. For the enthusiast who knows the history, appreciates the craftsmanship, and isn't afraid to wear their passion proudly. Generously sized for everything you need to haul, and handmade with the same pride that goes into every 'Vette that rolls off the line.",1,1,Tote Bags,,1,14 1/2 x 14 1/2,https://handmadedesignsbysuzi.com/product_images/prod_p1780859505389_img1.jpg,https://handmadedesignsbysuzi.com/product_images/prod_p1780859505389_img2.jpg,https://handmadedesignsbysuzi.com/product_images/prod_p1780859505389_img3.jpg
p1780859347527,TOT004,Corvette Racing Tote Bag,"Feel the rush every time you reach for your bag. This handcrafted Corvette Racing tote channels the thrill of the track with bold, eye-catching design made for fans who live for speed. Tough enough for everyday use, exciting enough for race day — take it to the show, the paddock, or the grocery store and watch heads turn. Made by hand, one stitch at a time, for the fan who never slows down. Upcycled TShirt, 2 large interior zipper pockets, 2 exterior pockets large enough to hold water bottles, fully lined. ",1,1,Tote Bags,,1,16 x 13,https://handmadedesignsbysuzi.com/product_images/prod_p1780859347527_img1.jpg,https://handmadedesignsbysuzi.com/product_images/prod_p1780859347527_img2.jpg,https://handmadedesignsbysuzi.com/product_images/prod_p1780859347527_img3.jpg
p1780859546440,TOT005,Corvette Show Tote Bag,"This handcrafted Corvette Show tote is the ultimate companion for car show weekends — roomy enough to carry your show-day essentials, stylish enough that people will want to know where you got it. Lovingly handmade with rich Corvette-inspired detail, it's a keepsake and a workhorse all in one. Upcycled TShirt, 2 large interior zipper pockets, fully lined. Made for the show season and beyond. ",1,1,Tote Bags,,1,15 x 13,https://handmadedesignsbysuzi.com/product_images/prod_p1780859546440_img1.jpg,https://handmadedesignsbysuzi.com/product_images/prod_p1780859546440_img2.jpg,https://handmadedesignsbysuzi.com/product_images/prod_p1780859546440_img3.jpg
p1781105367083,TOT011,Corvette Show Tote Bag,"Upcycled TShirt, 2 large interior zipper pockets, 2 exterior pockets large enough to hold water bottles, fully lined. Made for the show season and beyond. This handcrafted Corvette Show tote is the ultimate companion for car show weekends — roomy enough to carry your show-day essentials, stylish enough that people will want to know where you got it. Lovingly handmade with rich Corvette-inspired detail, it's a keepsake and a workhorse all in one.",1,1,Tote Bags,,1,16 x 14,https://handmadedesignsbysuzi.com/product_images/prod_p1781105367083_img1.jpg,https://handmadedesignsbysuzi.com/product_images/prod_p1781105367083_img2.jpg,https://handmadedesignsbysuzi.com/product_images/prod_p1781105367083_img3.jpg
